Manufacturer,Fuel Type,Number of vehicles,OBFCM Fuel consumption (l/100 km),OBFCM CO2 emissions (g/km),OBFCM Fuel consumption weighted (l/100 km),OBFCM CO2 emissions weighted (g/km)
KIA,PETROL,1025,6.39,145.5,6.33,144.17
SKODA,PETROL,2494,7.29,166.07,7.16,163.03
HYUNDAI CZECH,PETROL,1592,7.22,164.36,7.09,161.59
TOYOTA,PETROL,6338,5.6,127.52,5.67,129.15
MERCEDES-BENZ AG,PETROL,29995,10.53,239.83,10.68,243.3
VOLVO,DIESEL,18674,7.28,191.48,7.05,185.51
AUTOMOBILES CITROEN,PETROL,2457,6.49,147.95,6.35,144.75
FIAT GROUP,DIESEL,6470,5.85,153.96,5.64,148.48
AUDI SPORT,PETROL,464,14.44,329.0,14.23,324.21
ROLLS ROYCE,PETROL,20,18.79,428.1,17.63,401.54
VOLVO,DIESEL/ELECTRIC,1,10.47,275.52,10.47,275.52
RENAULT,PETROL,28846,7.48,170.42,7.29,166.16
BMW AG,PETROL/ELECTRIC,7521,6.73,153.29,6.95,158.33
BMW GMBH,PETROL,1519,14.76,336.28,14.8,337.22
PORSCHE,PETROL/ELECTRIC,1210,10.79,245.71,10.8,246.06
SEAT,DIESEL,1495,6.57,172.79,6.47,170.11
TOYOTA,DIESEL,8,10.73,282.18,10.41,273.78
DACIA,DIESEL,833,5.81,152.74,5.85,153.98
FIAT GROUP,PETROL,15126,7.01,159.72,6.8,154.97
ALFA ROMEO,DIESEL,1751,7.42,195.11,7.31,192.29
NISSAN AUTOMOTIVE EUROPE,PETROL,6872,7.76,176.77,7.55,172.07
TOYOTA MOTOR CORPORATION,PETROL,52,5.37,122.26,5.26,119.87
VOLVO,PETROL,8988,8.47,192.86,8.24,187.82
FORD WERKE GMBH,PETROL/ELECTRIC,19819,4.72,107.55,4.84,110.26
KIA SLOVAKIA,PETROL,1391,8.01,182.4,7.93,180.62
AUTOMOBILES PEUGEOT,PETROL,1817,7.37,167.96,7.35,167.35
CHRYSLER,PETROL,2216,8.46,192.73,8.21,187.02
PSA,PETROL,8357,6.8,155.0,6.69,152.36
JAGUAR LAND ROVER LIMITED,DIESEL,19663,8.41,221.34,8.31,218.52
AUDI HUNGARIA,PETROL,34,9.13,207.88,8.97,204.26
CHRYSLER,DIESEL,2468,6.1,160.49,6.0,157.76
PSA,PETROL/ELECTRIC,1471,5.94,135.42,6.07,138.28
AUTOMOBILES PEUGEOT,DIESEL,5940,5.99,157.53,5.92,155.69
HYUNDAI,PETROL,258,6.36,144.93,5.9,134.46
BENTLEY,PETROL,70,14.82,337.54,14.57,331.86
MITSUBISHI MOTORS THAILAND,PETROL,3,5.76,131.13,5.33,121.47
FIAT GROUP,PETROL/ELECTRIC,1061,6.49,147.81,6.48,147.64
SKODA,DIESEL,4295,6.22,163.69,6.12,161.14
MERCEDES-BENZ AG,DIESEL/ELECTRIC,24892,5.83,153.3,5.94,156.4
SUBARU,PETROL,10,9.5,216.5,9.23,210.19
RENAULT,PETROL/ELECTRIC,2244,4.13,94.13,4.2,95.67
BMW AG,PETROL,10876,8.89,202.4,8.84,201.33
PORSCHE,PETROL,2192,13.45,306.5,13.06,297.55
FORD MOTOR COMPANY,PETROL,811,14.95,340.6,14.6,332.5
FERRARI,PETROL,58,16.28,370.91,15.33,349.19
PSA,DIESEL,8116,5.46,143.55,5.45,143.27
HYUNDAI,PETROL/ELECTRIC,22,5.55,126.36,3.05,69.59
HYUNDAI,DIESEL,48,7.31,192.23,6.73,177.11
RENAULT,DIESEL,10434,6.25,164.46,6.05,159.06
BENTLEY,PETROL/ELECTRIC,1,12.97,295.5,12.97,295.5
AUTOMOBILES CITROEN,DIESEL,1867,5.39,141.78,5.35,140.88
SEAT,PETROL/ELECTRIC,2283,4.98,113.34,5.09,116.02
KIA SLOVAKIA,DIESEL,308,6.11,160.64,6.08,160.08
OPEL AUTOMOBILE,PETROL,1146,6.97,158.73,6.91,157.32
HYUNDAI CZECH,DIESEL,141,5.64,148.39,5.55,146.02
MAZDA,DIESEL,166,7.09,186.51,6.8,178.98
SUZUKI MOTOR CORPORATION,PETROL/ELECTRIC,32,5.1,116.22,5.1,116.2
MAZDA,PETROL,1950,7.61,173.28,7.61,173.41
CNG TECHNIK,PETROL,58,5.81,132.28,5.81,132.39
MAGYAR SUZUKI,PETROL,2798,6.72,153.12,6.64,151.24
JAGUAR LAND ROVER LIMITED,PETROL/ELECTRIC,2520,9.38,213.57,9.71,221.12
VOLKSWAGEN,DIESEL,27374,6.5,170.97,6.35,167.13
FORD WERKE GMBH,DIESEL,31986,6.76,177.94,6.67,175.62
AUDI AG,DIESEL,7766,7.2,189.45,7.07,186.02
BMW AG,DIESEL,19035,7.08,186.4,6.96,183.15
MITSUBISHI MOTORS CORPORATION,PETROL/ELECTRIC,6,6.22,141.59,6.6,150.25
AUDI AG,PETROL/ELECTRIC,2603,6.9,157.28,7.2,163.93
VOLKSWAGEN,PETROL,21296,7.49,170.71,7.43,169.2
VOLKSWAGEN,PETROL/ELECTRIC,6323,5.34,121.73,5.65,128.76
FORD WERKE GMBH,PETROL,84828,7.13,162.53,7.0,159.5
SEAT,PETROL,2934,8.21,186.99,8.1,184.61
AUDI AG,PETROL,2978,8.53,194.35,8.58,195.43
JAGUAR LAND ROVER LIMITED,PETROL,4918,11.91,271.41,11.81,268.93
FERRARI,PETROL/ELECTRIC,91,20.06,457.03,19.59,446.34
KIA,DIESEL,37,8.03,211.38,8.16,214.62
MERCEDES-BENZ AG,DIESEL,49124,7.06,185.87,6.81,179.05
ALFA ROMEO,PETROL,396,11.59,264.0,11.14,253.75
MERCEDES-BENZ AG,PETROL/ELECTRIC,23506,5.8,132.12,6.3,143.49
VOLVO,PETROL/ELECTRIC,24121,6.62,150.71,6.76,154.0
KIA SLOVAKIA,PETROL/ELECTRIC,82,3.87,88.13,2.82,64.21
AUTOMOBILES PEUGEOT,PETROL/ELECTRIC,1434,5.4,122.95,5.65,128.7
CHRYSLER,PETROL/ELECTRIC,1120,6.72,153.05,6.5,148.11
OPEL AUTOMOBILE,DIESEL,994,6.0,157.74,6.01,158.03
HYUNDAI CZECH,PETROL/ELECTRIC,59,5.53,126.03,5.68,129.29
DACIA,PETROL,14415,7.16,163.04,6.92,157.72
KIA,PETROL/ELECTRIC,75,5.0,114.01,3.12,71.1
SKODA,PETROL/ELECTRIC,857,5.04,114.86,5.21,118.76
TOYOTA,PETROL/ELECTRIC,40,4.09,93.21,3.88,88.3
HYUNDAI ASSAN,PETROL,527,6.09,138.69,6.02,137.1
AUDI HUNGARIA,DIESEL,10,7.15,188.03,7.08,186.2
SUZUKI MOTOR CORPORATION,PETROL,2231,5.4,123.06,5.27,120.15
SAIC MOTOR CORPORATION,PETROL/ELECTRIC,29,6.21,141.54,6.33,144.28
OPEL AUTOMOBILE,PETROL/ELECTRIC,317,5.47,124.71,5.53,126.0
MERCEDES AMG,PETROL,95,18.53,422.06,18.13,412.89
